"","source_message_from","source_message_timestamp","message_size","channel"
"222","U01DYP4PB7A","1603703973.000300",4,"introductions"
"223","U01DHD3GAR2","1603719092.001400",196,"introductions"
"224","U01DYP4PB7A","1603742487.002900",36,"introductions"
"225","U01CXLVJMRD","1603744813.003000",152,"introductions"
"226","U01DCMNTPHS","1603810895.001500",52,"introductions"
"227","U01DCMNTPHS","1603811184.005100",242,"introductions"
"228","U01DPHUPUM6","1603898819.007000",119,"introductions"
"229","U01CT0ZAS2J","1604674390.001300",118,"random"
"230","U01D9K9KE3W","1603678921.001300",87,"sdginprogress-troubleshoot"
"231","U01D9K9KE3W","1603678928.001500",13,"sdginprogress-troubleshoot"
"232","U01CRKKRPAS","1604226473.000400",809,"sdginprogress-troubleshoot"
"233","U01CRKKRPAS","1604353067.001400",38,"sdginprogress-troubleshoot"
"234","U01CRKKRPAS","1603294059.002800",687,"step1-team-formation"
"235","U01D9NTEZQU","1603439016.002500",403,"step1-team-formation"
"236","U01DXJALY9E","1603471808.005800",263,"step1-team-formation"
"237","U01D0LHNDQV","1603474848.009300",562,"step1-team-formation"
"238","U01D8CCQWCA","1603488315.018700",557,"step1-team-formation"
